pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,24.54042917,23.5768125,23.33875833,23.64358333,23.18872917,23.26412917,23.3279625,23.1604125,23.55155417,23.54156667,23.463075,23.31599167,22.87983333,22.8401125,23.0976,23.33126667,23.11822083,23.46622917,24.20158333,23.777075,23.59811667
KAG,18.33323333,17.19205792,17.41161583,17.40552167,17.44300458,17.4969725,17.84895208,17.15496792,17.82067583,17.97454917,17.32547,17.65437875,17.60342667,17.06491583,16.92613375,17.61275583,17.16390542,17.51094792,18.33319875,17.25163208,17.71137
YAT,16.56778292,15.47429738,15.63079067,15.77951967,15.82912667,15.83615429,16.32833475,15.53879603,16.14105254,16.39605292,15.70286308,15.93494738,15.85756329,15.32378667,15.11016,15.69250088,15.31722325,15.9394375,16.7012175,15.52623204,16.5986771
SAG,17.26528167,16.18961292,16.36649071,16.48371458,16.52501708,16.41123625,16.91102754,16.25769504,16.60362792,17.09159042,16.42545917,16.53950542,16.60683458,16.22705408,16.09925667,16.73939542,16.316175,16.67305,17.42218708,16.63277583,16.97122958
YAM,15.83671417,14.97315325,15.07262046,14.87557783,15.21146292,14.82734467,15.57618854,14.83539413,14.96519904,15.51698038,15.03046746,15.01310121,15.24503063,14.87460458,14.63820077,15.09781542,14.67444383,15.06919292,15.75413483,14.99924017,15.2890355
KYO,16.28248958,15.56757896,15.58976963,15.26880163,15.687215,15.2076762,16.27387433,15.34854783,15.37035425,15.84192708,15.53799814,15.5312525,15.84524867,15.51043163,15.20624113,15.67433961,15.46619763,15.96367958,16.42245167,15.39669333,16.21810463
TAK,15.76064208,14.98808513,15.03290029,14.83393096,15.11682417,14.65575483,15.69531783,14.77672196,14.77897623,15.26610833,14.99070896,15.04613329,15.31087696,15.02943908,14.72541118,15.18852863,14.94159708,15.45839417,15.85466917,14.84360692,15.69621546
KAN,15.2079525,14.74962063,14.81637788,14.52949967,14.72855583,14.33545817,15.41880192,14.41075833,14.3324535,14.91463708,14.64788975,14.51720096,14.81772725,14.38773025,14.401251,14.67937682,14.42679721,14.97628808,15.36842917,14.52716788,15.221964
NIG,13.88332533,13.71868321,13.69511988,13.46901083,13.57952463,13.25230779,14.12835242,13.09783942,13.25347038,13.75543308,13.59701021,13.52040311,13.74399996,13.30710604,13.15938167,13.20125708,13.07532067,13.82148242,13.96149192,13.11107671,13.86068292
SEN,12.35027175,12.59593301,12.51604996,11.67366808,12.29879242,11.75910246,12.71008567,11.814403,11.93054261,12.58258246,12.24799988,12.47678313,12.78081134,12.37687092,12.19659713,12.23843446,12.28162542,13.14984083,13.081235,12.36043775,13.07213331
TAN,21.47514167,20.54444167,20.5429875,20.70354583,20.34255833,20.41904167,20.59665417,20.08990833,20.74653333,20.88072917,20.50146667,20.53375833,19.90552083,19.81822625,19.865775,20.37937083,20.03720417,20.3905375,21.11357917,20.39982083,20.68184583
SHI,16.70159667,15.72119083,15.75076292,15.86540417,15.77247333,15.68551917,16.33522833,15.78862125,15.91201375,16.42689292,15.68518792,15.86341333,15.17470417,15.47652167,15.38099167,15.93563,15.41630583,15.72140167,16.49441917,15.90219792,16.07795292
HIR,17.42444375,16.53871625,16.58331346,16.3801875,16.71775792,16.24285663,17.1198125,16.33224792,16.48908792,17.07301083,16.59072996,16.61771792,16.79081792,16.39809938,16.26738125,16.65045163,16.27863,16.63990875,17.3015125,16.40104875,16.83963413
TOK,16.67121208,16.94005625,16.76333417,16.44134517,16.65555875,16.02297625,17.31939958,16.2025425,16.42954167,16.99518833,16.48896958,16.69837458,16.954305,16.57287092,16.359666,17.03955625,16.5901425,16.81887583,16.87788125,16.28598125,17.218404
UTS,11.84331704,11.70238604,11.49895875,11.31777179,11.49902733,11.00430458,12.12548188,10.96913542,11.36834121,11.70387858,11.35432329,11.69333628,11.8580564,11.30931125,11.15532567,11.67964658,11.28334867,12.08262942,12.17431542,11.31203958,12.42382163
KHO,12.41501029,12.38727679,12.307748,11.88163433,12.22602958,11.82718546,12.69742208,11.76389,12.05298308,12.53170191,12.15427933,12.34891444,12.5812785,12.08228792,12.16674154,12.43675096,12.14321983,12.918862,13.00892463,12.11937621,13.10767758
AIZ,10.69876417,10.46662708,10.36343075,9.987259,10.33299678,10.00535063,10.84142458,9.757467875,10.09998988,10.53448875,10.21346175,10.40615042,10.60840042,10.023124,10.06787879,10.36514338,10.05851896,10.94201392,11.17859667,10.10805083,11.18243025
SAK,12.84475625,12.77590067,12.71198571,12.14903114,12.62221892,12.37287292,13.19151813,12.24287838,12.33773871,12.91007733,12.70945125,12.62536092,12.951809,12.37811896,12.43022129,12.44775438,12.43942575,13.17219217,13.13741658,12.34551333,12.92483833
