pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,13.03327775,12.45832521,11.54496792,12.66627992,12.76273433,11.33375758,11.9168635,12.18041208,13.10685992,12.4732255,12.62523371,11.94769517,12.89499292,13.18721825,13.49263567,12.09441142,11.3657265,12.50997833,12.91926833,13.198885,13.04020429
BRU,21.06052958,20.11589833,19.39467,19.80559042,20.23985833,19.62861375,19.90132625,19.56908958,20.090565,20.31207792,19.81839375,20.46795333,19.25289192,20.40326792,20.91156167,20.29186583,19.62391667,20.78244333,20.72407125,21.00344917,20.15936958
NVA,16.2789875,15.555645,14.69360113,15.07452623,15.58324371,14.85371458,15.34391658,15.46693863,15.71312125,16.32191042,15.74388375,15.13874333,15.50262792,15.76987538,15.79597494,14.75589442,14.637906,15.33937167,15.48966058,15.64512967,15.1416819
NEW,13.31953321,12.83630275,11.7197275,12.68385392,12.95199333,11.536422,12.18737675,12.55794667,13.21707221,12.18737675,12.146317,11.61205156,12.82674083,12.78240983,13.37299129,12.11272702,11.53616154,12.54746571,13.04911625,12.90770904,12.66620538
MAN,15.14255625,14.20917613,13.17718042,13.56612121,14.18816958,12.94244458,13.53575125,13.750341,14.34241183,14.07680904,13.71452246,13.40418042,14.13981958,14.51202388,15.24193371,13.62225383,12.96150292,14.09962421,14.60415892,14.79795175,14.35020181
JAC,21.89143208,21.0276125,20.126335,20.76812125,21.17956708,20.80014083,21.07914375,21.11727833,21.53518167,21.17997083,20.708665,21.3265925,20.22405542,21.58445167,21.95551708,21.38233917,21.21374458,22.788145,22.17276375,22.06057,21.57972792
FEM,23.4325625,22.69250417,22.4005625,22.68244458,22.684425,22.55500042,22.58672208,22.46622083,22.68334125,23.37414167,22.76460417,22.75702625,21.53315292,23.19516333,22.88081708,23.14078458,22.67164583,24.12130417,23.3323375,23.9017125,23.85755
FAY,18.64059125,17.24961833,16.18266858,16.90994879,17.5710025,16.50431908,16.45610821,16.69843196,16.92542,17.21994033,16.78648292,16.53550134,16.55639583,17.32452167,17.30207917,16.27613463,16.06662375,17.321896,17.45973325,17.79470333,17.48197875
OAK,23.14693333,22.246975,21.78269167,22.17337417,22.1153575,21.96401083,21.95913125,21.97263333,22.21287917,22.48617917,22.15752917,22.43271042,21.02785958,22.68167917,22.721725,22.58886542,22.09483333,23.41353417,22.91637542,23.04205417,22.8483775
PBS,24.38230417,23.66883333,23.61997083,23.81239583,24.04062083,24.00261125,23.78249167,23.56547083,23.8378375,24.30392083,23.9050375,23.98407083,22.92867375,24.81440833,24.00483333,24.37197083,24.16277917,25.17687917,24.62160417,24.65287083,24.259975
WAV,15.84979208,15.57244096,14.71629329,15.429063,15.95043946,14.70274542,15.15400788,15.42941825,15.79202542,15.69375054,15.55105321,15.15609075,15.25977125,16.19097104,16.35710983,15.36380283,15.08634354,15.67580875,15.72945888,16.03805692,16.05820292
ZIO,18.49337042,17.58547292,16.95322417,17.62647188,17.79213379,17.02939421,17.44594017,17.52880675,17.71039625,18.25238375,17.53315546,17.35180583,17.18126363,18.15851708,18.46694625,17.40027458,17.39840292,18.70608279,18.59563688,18.84786167,18.58724333
