POP,MONTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KAG,Jan,10.9188,11.4011,11.6919,11.0426,11.8462,9.85855,10.6728,9.99985,11.4758,12.1011,11.6771,11.2167,11.3673,7.95202,10.5737,10.6853,12.5079,11.8445,10.9966,12.0283,10.3801
KAG,Feb,14.511,12.0107,10.6356,13.3881,13.6223,13.4138,13.9328,11.5858,13.7092,14.9558,10.9175,15.495,14.8315,14.0565,11.3038,12.9855,12.526,11.9724,12.7297,13.0387,10.9795
KAG,Mar,15.2203,16.3701,15.9754,15.8939,17.6233,15.3518,16.4242,14.5246,15.486,16.6469,17.1431,16.1544,16.167,14.557,15.7218,18.44,16.8451,16.2609,17.0215,14.5254,18.2817
KAG,Apr,22.961,20.2848,19.9919,20.6084,20.9515,21.4757,21.995,22.2101,20.0689,20.0418,20.6288,21.232,19.488,20.5119,20.9509,20.3631,20.2617,22.0064,21.1365,21.0437,22.6253
KAG,May,24.945,24.2076,25.1764,24.2757,24.6151,24.2317,24.391,24.7561,24.073,24.8185,24.7698,25.5002,24.3064,23.8092,24.6881,25.3264,24.6028,24.5708,25.2373,25.0678,24.6852
KAG,Jun,26.2517,26.2058,26.6278,27.4263,27.2185,25.7072,27.7109,27.7502,26.8818,27.1391,25.5921,27.2008,25.9144,26.1053,25.5801,26.5577,25.5219,24.3086,26.55,26.5458,27.2481
KAG,Jul,31.0234,28.8735,31.1392,31.7561,30.5965,30.2223,32.0308,30.5633,31.038,30.5493,32.327,30.3027,30.0782,30.522,30.5083,32.3842,30.3123,28.7448,31.2284,32.0534,31.2709
KAG,Aug,32.475,29.8386,31.0683,31.5542,31.4269,30.9657,31.593,31.6261,32.3596,31.9884,31.3669,31.8423,32.1629,31.2671,31.1299,33.2011,30.0855,30.7572,33.1809,32.4629,32.2629
KAG,Sep,29.2797,29.1485,28.6701,27.6735,29.2674,30.0954,28.863,29.7852,28.5286,30.7738,28.4137,30.0792,29.8313,28.5726,28.2043,29.4921,27.501,27.8843,29.8222,27.7912,28.6084
KAG,Oct,24.7272,24.7596,24.4814,24.6184,23.2087,23.4873,23.7228,24.7749,26.5484,25.9222,24.3246,23.6281,23.8064,23.6748,24.3105,25.0945,24.5716,24.6158,25.4734,24.1948,23.4864
KAG,Nov,19.0351,18.3709,19.5359,17.9819,15.8281,20.9155,19.8392,18.9267,19.5745,18.835,17.6014,18.124,18.1248,20.0582,16.8846,17.4791,19.1858,20.199,19.2425,17.5813,19.0379
KAG,Dec,14.8794,12.587,14.3113,12.96,13.3246,13.5248,15.5253,10.3182,13.833,14.1652,13.5006,13.18,13.1121,12.6708,11.6064,11.8629,11.6474,15.0169,15.3112,11.2974,13.6758
YAT,Jan,7.56532,8.76106,9.12696,7.74046,9.16529,6.86057,7.60175,7.1233,9.01821,9.42055,9.1071,7.9771,8.21344,4.58897,7.63429,7.69799,9.53311,8.88764,7.81381,9.62962,7.68794
YAT,Feb,11.8095,9.00514,7.81183,10.4273,10.9294,10.9083,11.635,8.40743,10.8404,13.022,7.94946,13.023,12.2692,11.827,7.69914,10.1719,9.51729,9.08995,9.80739,9.94621,8.90242
YAT,Mar,13.6329,14.0458,13.4765,13.6183,15.7846,13.5281,14.101,12.0793,13.1952,14.7667,14.7095,14.3304,13.7809,11.7159,12.8639,15.7365,14.2482,14.0309,15.0258,12.3112,16.8503
