pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,Jan,9.1134,6.65189,4.29572,4.28631,8.38309,1.52104,0.243844,4.59575,9.71477,8.03833,6.916,2.28655,4.51552,2.20621,8.39918,6.18359,3.17509,3.14893,5.64593,7.271,5.13273
BER,Feb,9.42351,7.76137,7.81716,7.8878,10.2791,2.79472,6.04168,6.75245,6.73071,2.13847,8.65365,8.33559,3.32613,8.47027,9.53621,5.57674,4.41344,1.08319,7.63369,11.9891,10.9912
BER,Mar,11.6485,10.5539,14.4338,8.98034,12.7991,12.181,11.2994,8.54954,11.9207,12.4167,12.4674,11.1236,14.0548,11.0756,16.3524,8.94018,8.63313,8.6939,15.0665,10.7691,8.83579
BER,Apr,17.6029,16.6323,15.7789,18.1254,19.2657,15.5823,17.3777,18.1763,19.0882,15.5283,18.3186,18.1083,20.4473,18.853,18.4426,17.608,16.8816,18.0107,17.0763,20.137,15.982
BER,May,23.1308,22.5187,23.0059,23.4026,22.5795,18.9826,25.416,20.1955,23.3541,24.7421,21.7589,22.6356,24.2702,24.2054,24.0565,22.7751,22.9506,26.2403,21.1403,21.5439,25.2803
BER,Jun,25.7492,27.4626,27.4796,28.6302,27.5887,25.4079,26.7129,27.8893,26.8018,27.7166,29.9509,25.0595,30.3358,29.098,27.5284,28.1013,27.8956,27.1916,28.1227,28.3469,27.7837
BER,Jul,29.642,32.4125,27.3883,28.529,30.9691,29.4631,28.7294,30.0176,30.9954,29.9926,31.3996,28.6299,32.4563,32.6629,31.7564,30.7838,29.6194,29.7051,31.2028,30.1557,30.5023
BER,Aug,29.7696,29.0669,26.9319,30.8907,30.6555,29.4138,27.684,30.4999,30.0656,29.6335,29.0244,29.3712,30.4585,28.8875,29.6047,27.3915,27.6107,30.3189,30.9432,28.201,30.7854
BER,Sep,26.9883,24.6738,23.955,25.2895,26.4062,24.3713,25.3916,28.3167,23.656,27.3321,25.754,23.6329,27.5908,25.6789,25.3255,24.8051,25.4455,27.8501,27.0288,26.2678,26.4853
BER,Oct,18.6693,18.3441,19.7137,20.8995,17.7165,17.8936,17.6131,18.7384,18.4215,23.0835,18.813,17.8014,19.5455,19.1183,19.095,20.0232,19.397,18.7536,19.8532,22.5099,19.7633
BER,Nov,13.4254,15.0011,12.1659,16.9524,11.7487,15.0852,13.4661,15.2786,15.1596,12.2563,11.5686,14.4666,13.3932,15.9609,10.8028,12.1025,11.5067,15.9552,14.8997,13.648,11.7265
BER,Dec,9.47093,8.6822,3.77908,11.1742,6.19599,6.94294,7.76353,5.56013,11.1897,7.11866,8.79352,6.53225,3.80781,11.1797,10.1022,8.23244,8.46218,14.5259,7.81936,5.99269,8.97646
BRU,Jan,18.3029,18.9027,16.4695,15.7588,18.2997,15.3447,17.2946,18.5727,19.2853,18.2496,16.7064,17.587,14.7904,15.0719,19.926,21.3354,14.8331,17.1093,15.9627,21.3859,14.6845
BRU,Feb,18.3379,19.9108,19.5749,20.6145,18.5317,18.6926,16.0686,18.8711,17.8103,18.845,21.6076,18.627,14.8488,20.4729,20.6589,20.3769,19.439,16.1884,19.4101,23.9176,23.3724
BRU,Mar,20.0442,20.6722,23.4219,20.8467,23.7883,22.929,23.4998,20.6393,22.2587,24.0836,22.4731,23.1098,20.0667,24.1804,25.9646,20.0706,20.9348,23.3567,24.4517,23.4685,21.1888
BRU,Apr,25.0137,26.8852,24.103,25.9437,27.7483,25.2218,25.6756,23.7782,27.6947,26.1757,25.1433,26.1776,26.5509,28.1141,27.3137,25.9472,25.609,27.2028,25.5609,28.0212,24.547
BRU,May,31.1222,28.166,30.4527,30.2206,29.6499,30.3173,30.5594,28.1376,30.2572,28.7508,29.4309,30.1785,30.4093,30.1902,29.8836,28.7591,29.6949,30.1409,30.7105,30.8773,29.1469
BRU,Jun,35.7993,30.2524,31.9407,31.1171,31.7628,31.511,32.5142,30.5313,31.9218,31.936,33.3899,34.525,34.4608,34.4899,30.8941,32.6252,32.9244,33.5205,33.6882,31.2396,32.8222
BRU,Jul,34.5185,33.3139,33.5697,31.9984,34.1028,32.7078,33.285,33.6623,34.0458,33.6127,32.9686,33.692,34.4194,34.1787,34.9687,31.9454,33.7942,34.4569,35.8631,33.6909,32.6323
BRU,Aug,32.8982,33.4842,32.5408,32.5777,32.4156,31.987,31.3405,32.9293,34.321,34.1174,32.3285,33.246,34.0514,35.393,32.5443,32.6573,33.94,32.8799,33.7418,32.5388,32.605
BRU,Sep,30.298,29.651,29.0082,28.4505,31.3655,29.248,29.4745,31.507,30.6394,30.5168,30.4167,30.9811,32.1074,31.522,31.3041,30.2839,30.0486,29.7474,31.4663,30.2513,32.1647
BRU,Oct,27.411,26.0207,25.9294,25.3603,27.646,26.3856,27.5206,25.5892,26.4759,27.3871,25.4594,27.9649,28.1892,25.8032,27.2374,26.7006,27.9153,26.0865,27.5083,27.0181,28.1805
BRU,Nov,23.8705,22.6493,20.7072,24.3311,21.4864,24.2596,24.7392,23.4415,21.3458,22.0578,20.3696,22.657,22.9777,22.9609,21.2261,20.8687,20.093,24.0243,23.6808,22.5508,20.8423
BRU,Dec,19.7012,17.6361,14.4437,20.4849,17.1703,17.3927,17.2046,16.5668,20.7718,21.3022,20.6493,17.5264,14.4579,20.5178,20.7443,20.5741,19.6407,23.2596,20.8908,17.7751,18.3346
NVA,Jan,11.8569,13.3161,8.79946,10.7019,11.8815,7.50519,8.36888,11.3321,14.4791,13.2978,10.6434,8.54206,8.73033,8.11585,13.5764,11.7986,8.71828,8.91954,8.24841,11.647,8.65436
NVA,Feb,12.7667,13.8804,13.3013,13.7801,13.8954,9.98095,10.4453,12.4844,12.2746,10.4323,14.7526,13.1468,8.06099,15.2641,13.523,10.4192,11.5729,6.56215,11.0487,17.8896,16.3509
NVA,Mar,15.7039,15.0675,18.8817,14.813,17.7318,17.8346,17.5751,14.9549,17.1103,20.1779,18.3244,15.295,17.6648,16.4251,21.6397,12.7482,14.2875,16.1132,19.8577,16.7077,12.9429
NVA,Apr,21.0786,21.8058,20.4451,22.6821,24.1094,20.9776,22.5009,22.1127,23.924,21.6147,21.4068,22.4555,24.8853,23.3169,21.4375,21.8663,22.4434,21.9262,21.5175,24.5751,20.7058
NVA,May,26.6932,26.0058,27.7715,25.939,25.822,23.708,28.5739,24.5236,25.4151,25.9332,25.5969,26.4179,27.5319,26.5154,27.3977,24.6101,27.4339,27.5525,24.2486,25.4076,28.4384
NVA,Jun,31.1909,28.6808,30.6035,29.9331,32.0607,28.3828,29.1524,29.7295,29.0386,30.6918,33.7108,30.758,33.0448,32.0909,29.8105,29.7485,31.2031,31.3669,29.9315,29.6261,30.6131
NVA,Jul,32.0441,32.671,29.4769,29.3777,32.5912,30.2642,31.6832,33.3068,31.939,32.3614,32.3793,31.3398,34.1329,33.9383,33.7926,30.963,30.7652,31.4585,32.6049,32.6464,31.4419
NVA,Aug,31.5875,31.7126,29.5429,31.0643,31.6048,30.5388,28.9672,32.356,32.4524,34.8649,31.7253,31.7069,32.5974,31.2378,29.8033,29.6356,28.9387,30.661,32.4048,30.2308,31.1579
NVA,Sep,30.1308,25.87,25.7778,26.0229,28.0926,26.6433,27.0725,30.7022,26.6171,30.3758,27.8884,26.9055,31.0008,27.2555,26.6549,27.6232,26.7213,27.9382,28.8995,27.8009,29.1726
NVA,Oct,23.0997,21.0934,22.9975,22.6684,20.9784,21.39,21.598,22.3334,21.5921,26.3911,21.6296,21.1021,23.6449,20.8805,20.9914,21.6884,23.5712,20.8913,23.1363,24.0723,22.1734
NVA,Nov,17.5742,19.343,14.9691,20.6563,15.4629,20.2277,17.6875,18.419,18.1029,17.1865,15.6078,17.2544,17.1637,18.5907,14.6597,15.6297,13.9486,17.9813,17.7669,16.2697,13.7653
NVA,Dec,13.0964,12.8518,7.03515,14.7185,10.7712,11.0542,12.213,10.0661,15.8591,14.6262,13.4436,10.0988,6.07609,14.3384,14.7095,13.5941,11.5885,17.4667,11.4334,10.5549,11.8084
NEW,Jan,7.53124,4.45142,3.30476,3.61819,7.66548,0.538192,-0.728808,2.58005,8.25513,6.21042,5.55253,0.739596,3.45337,1.37922,6.61488,5.25224,1.52282,1.87776,4.86007,5.87413,3.7243
NEW,Feb,8.09626,6.68614,6.38841,6.18313,9.51753,1.95324,5.30418,6.2239,5.7572,1.40818,5.79195,6.8265,3.59665,6.37621,8.53945,4.17274,2.71531,-0.626063,6.89147,9.79489,9.30713
NEW,Mar,11.0278,10.3257,13.3019,7.88859,11.6821,11.2473,10.7375,7.84933,10.8363,10.6312,10.3085,10.0558,13.2768,9.99212,15.5475,8.17981,7.23428,7.29194,14.4547,8.48511,8.04093
NEW,Apr,16.6202,16.412,14.802,16.912,18.2635,14.5994,17.3679,18.4936,18.6062,14.3315,17.4917,17.2196,20.0145,17.3278,17.8746,16.6969,16.545,17.083,16.903,18.7861,13.967
NEW,May,23.0877,22.0379,22.3983,22.5397,21.2441,19.4884,24.5825,20.5199,22.7895,24.4192,20.8178,22.1262,24.2633,23.0265,23.3214,22.338,22.6916,26.0663,21.8117,20.7506,24.4649
NEW,Jun,25.2319,28.2113,26.9292,28.0185,27.5689,25.0984,27.0029,29.1241,26.5684,27.4252,28.8138,24.2995,29.0398,27.4036,27.0478,27.2973,27.5953,26.5511,27.7611,27.7356,27.225
NEW,Jul,29.7176,32.2057,27.1847,28.2889,31.2506,29.8476,28.3362,30.3937,30.8822,28.7458,30.5509,27.9386,32.2223,32.1504,31.477,30.6484,29.5109,30.4276,31.0103,29.4395,30.434
NEW,Aug,29.5496,28.7878,26.9887,30.5708,30.5962,29.5522,27.8756,31.0882,28.8963,28.0978,28.0537,28.8432,29.4682,28.6723,29.7624,27.5188,28.1933,30.7781,30.8006,27.5773,30.2184
NEW,Sep,26.0238,24.6163,23.8932,24.5514,26.2968,24.0409,25.4747,28.1614,23.1914,26.1001,24.9409,23.2891,26.1643,24.9764,24.899,24.4287,25.5773,28.1486,26.6502,26.0248,25.2691
NEW,Oct,17.9018,17.8963,19.008,19.6703,16.7902,17.5309,17.6246,18.0377,17.9994,22.0321,17.7019,16.8771,18.9205,18.2508,18.2314,19.7915,19.1345,18.828,19.3153,22.2913,18.0416
NEW,Nov,12.3845,14.2082,11.2281,15.8158,11.0341,13.7966,13.3871,14.0542,14.4569,10.7235,10.7021,14.0484,12.3025,15.0827,10.263,11.2631,10.6615,15.5924,14.1597,12.406,10.0592
NEW,Dec,9.03461,7.53958,2.96053,9.91655,5.1823,6.42816,6.6604,4.18483,9.93374,5.13055,6.55935,5.20684,3.2849,9.82115,7.95616,6.2812,7.37579,13.211,6.4989,4.39874,7.47162
MAN,Jan,9.8795,8.0293,6.30815,5.69596,9.95684,2.9989,3.02542,6.2053,10.6858,8.96883,7.76718,3.75479,5.65323,3.82563,9.59577,8.20595,3.96641,4.73475,5.91737,8.86044,6.98325
MAN,Feb,10.5556,9.31175,10.5717,9.62981,11.4906,4.04624,7.23017,8.74502,8.13599,3.41724,8.85361,10.2687,4.1063,10.4696,11.0471,6.91838,6.72456,2.86567,7.9757,13.9779,11.7802
MAN,Mar,13.3187,11.8011,16.6508,11.2595,13.9817,13.6496,14.4306,10.4478,14.1536,14.8285,13.7879,12.2088,15.363,12.6152,19.2244,10.2109,10.4365,11.5672,17.3327,13.1885,10.5235
MAN,Apr,20.2355,19.2726,18.3038,20.1427,21.0849,18.4003,18.8641,19.6194,20.8421,17.3738,19.3352,19.6825,22.1371,20.8066,19.837,20.2131,18.7665,19.9916,19.2995,22.5443,17.8309
MAN,May,25.1577,25.4903,25.5182,23.5601,23.9041,20.1145,26.9066,21.7202,23.5769,25.4441,23.0476,23.6192,25.5178,25.0634,26.5005,23.8953,25.014,27.0099,21.6146,22.8336,27.2275
MAN,Jun,27.7328,28.5053,28.409,28.3413,29.5381,26.0722,27.1547,28.8384,28.3432,29.3634,30.0957,27.72,31.2163,29.9244,29.4495,28.6366,28.8553,28.8028,29.1831,29.6491,28.6645
MAN,Jul,31.3601,33.3649,27.7207,28.2806,31.6603,29.6028,29.6235,30.9874,31.3348,31.1995,30.7515,29.7034,33.0255,33.3429,33.5343,30.8291,29.8542,30.2725,32.2369,31.599,30.7848
MAN,Aug,32.0515,31.2874,27.9805,29.9714,31.8026,29.8894,28.2311,30.9371,31.3966,31.2814,29.4516,30.8925,30.7751,30.5205,31.1869,28.3827,28.3445,29.9454,32.1012,28.6075,30.965
MAN,Sep,30.1443,25.5265,24.3465,24.8472,27.0681,25.2243,25.5939,29.0162,23.6438,27.8716,26.3645,25.1903,28.8452,25.1456,26.5626,26.1424,25.8994,27.7453,27.8113,26.4049,26.8703
MAN,Oct,20.6021,19.3367,21.2658,21.359,18.271,18.9042,18.3644,19.8317,18.8416,24.0147,19.3765,18.9336,20.8108,18.9673,19.8689,20.6393,20.5332,19.4817,21.635,22.9718,20.6879
MAN,Nov,15.4543,16.7897,12.6689,18.1048,12.5977,16.3474,14.6209,15.6162,14.7516,13.8195,11.8494,15.1704,14.4883,16.5258,12.1641,12.0521,12.3336,16.8395,16.2448,14.3797,11.1227
MAN,Dec,11.3084,9.86593,3.36526,11.4302,6.62197,7.74586,8.71282,5.93539,11.7674,8.17752,9.09964,6.48361,4.06925,11.4384,10.9937,9.32945,8.80939,14.9278,9.06686,7.52606,9.67331
JAC,Jan,19.8851,20.673,18.5667,16.5095,19.3216,15.6948,18.7784,19.6885,20.796,19.7975,17.1608,18.7177,15.4457,16.3284,21.0916,22.0195,16.2498,18.5774,17.2378,22.2284,16.7328
JAC,Feb,19.9681,21.5038,20.2701,21.1638,19.3833,20.0353,17.3927,20.1049,19.5893,19.7843,21.3842,19.4015,15.6742,21.023,21.7295,21.2277,20.5729,17.8653,20.484,24.1046,24.9888
JAC,Mar,21.5487,22.5215,24.2545,21.4698,24.7052,23.8793,24.2074,21.9026,23.565,23.9666,22.86,23.5924,20.537,25.0926,27.0788,20.6947,22.1884,25.333,26.098,24.0713,23.0515
JAC,Apr,26.2645,27.7078,24.8367,26.0687,27.7403,26.0033,26.0571,24.6806,28.0918,26.1409,25.6145,26.2769,26.6621,29.2799,28.3596,25.8841,27.3422,28.5063,27.2382,28.1421,26.3274
JAC,May,31.5333,28.9033,30.5635,29.5922,29.3485,31.2572,30.8258,28.2532,31.1657,28.3418,30.0491,29.5834,31,30.9401,30.6484,28.0638,30.2329,30.712,30.733,31.0956,29.408
JAC,Jun,36.4571,30.6131,31.4948,31.6651,30.9401,31.2879,32.6872,31.0303,32.0597,31.3434,32.8008,33.5369,34.2145,33.9823,31.3331,31.9794,32.8461,34.0356,33.666,30.6895,32.974
JAC,Jul,34.1553,33.8263,32.6596,32.7288,32.9795,32.0191,32.9062,33.543,33.3992,32.7481,32.3157,32.9282,34.1884,33.44,34.2702,31.8328,33.6012,34.5964,35.4675,33.0863,32.5753
JAC,Aug,32.4603,33.5412,32.2345,32.5355,31.5789,31.6802,31.6698,33.376,33.7987,33.7845,31.6796,32.5821,33.5494,34.8599,32.172,32.3767,33.8823,33.118,33.7864,32.3134,32.7862
JAC,Sep,29.9381,29.817,29.3518,28.7594,31.2305,29.8509,29.9879,31.6527,31.5293,30.9059,30.4592,30.799,31.7399,31.5278,31.1551,30.5919,30.5062,30.8648,31.947,30.7329,32.7968
JAC,Oct,28.0494,26.3274,25.7191,25.6916,28.1491,26.9162,27.8735,26.6931,27.4364,27.401,26.0287,28.7495,28.4353,26.2367,27.2972,27.2522,28.3701,27.7654,27.8651,28.6603,29.24
JAC,Nov,25.0166,22.3527,21.7832,24.1366,21.7749,24.8937,24.2301,24.2989,22.1491,21.9209,20.9581,23.0168,23.7421,23.3026,21.2284,22.7148,21.1933,26.2365,24.2602,24.7977,23.3602
JAC,Dec,21.6013,18.4346,15.8448,21.279,17.9163,18.1905,18.192,18.1822,21.6646,21.252,21.7651,18.9313,15.6391,21.5739,20.6845,22.1928,21.1904,24.9606,22.18,20.4188,20.5956
FEM,Jan,22.7763,23.5643,22.2381,20.9377,23.044,19.8441,22.4852,22.7685,23.3622,23.7863,22.9965,22.3397,19.8344,22.4485,22.8753,25.0299,21.7431,23.0609,20.9925,24.5578,22.0571
FEM,Feb,22.5348,23.8714,22.8997,25.8902,22.8767,24.5729,23.5948,23.4917,22.3459,23.0892,25.869,22.5904,19.5155,25.1595,24.7953,24.9075,25.7678,22.2835,22.5105,26.2875,28.1803
FEM,Mar,23.1521,24.7192,26.9168,26.2233,26.5475,27.9655,25.4569,24.3232,25.4701,25.9387,25.7368,25.4686,22.6613,26.0133,27.0254,23.1952,25.6746,27.4197,27.1648,26.4154,25.9978
FEM,Apr,27.4057,28.4423,27.2323,27.585,28.6675,27.2333,26.8025,26.2478,29.0157,28.0031,27.1259,27.7452,26.9024,29.2631,28.1415,28.2593,28.0503,30.3099,27.5762,29.1203,28.8547
FEM,May,30.5353,29.2937,30.5799,29.3829,30.2791,31.2235,29.6777,28.9139,30.7367,29.3307,30.6357,30.1709,30.3498,30.6926,30.2961,29.0455,30.0104,30.4195,30.0938,31.7891,29.1591
FEM,Jun,34.4406,30.1891,31.4538,31.8605,30.3875,31.4815,32.6303,30.2203,31.3447,31.4053,31.9615,32.5352,33.0687,32.3674,30.5633,31.7989,31.6803,32.6775,32.1452,31.8523,32.7906
FEM,Jul,33.3276,32.2807,32.1881,31.2853,31.2984,32.1326,32.438,32.4674,31.5579,32.52,31.6892,32.6617,32.9228,32.5296,32.3346,31.3824,32.1937,33.1413,33.4158,33.2105,33.3548
FEM,Aug,32.3657,32.9237,31.6503,31.8182,31.5958,31.5017,32.2074,33.0844,32.3913,33.2425,31.699,32.4468,33.2161,33.5141,32.536,32.0813,32.9611,32.7631,32.8578,33.4553,33.2334
FEM,Sep,31.0144,30.7823,31.2199,29.8439,31.6072,30.5233,30.8224,31.2927,31.4421,31.9315,30.5744,31.4815,31.7829,31.7643,31.0895,31.0819,30.8542,31.7904,31.8955,32.0671,32.5551
FEM,Oct,29.3478,28.0149,27.6813,28.1382,30.3602,29.1059,28.4122,28.4217,29.1499,29.9914,27.9884,30.5145,29.3291,27.7605,28.3902,29.9136,29.1196,29.8504,29.0806,29.0462,31.082
FEM,Nov,26.8512,25.4637,25.1131,25.9155,25.3274,26.9267,26.1469,25.7798,25.1274,26.0057,24.0026,26.3798,26.1529,26.0507,24.1328,27.0672,24.4036,28.5947,26.1831,27.4921,27.5902
FEM,Dec,25.0037,22.4886,22.185,24.7915,22.4282,22.1795,22.2612,22.1385,25.2528,25.425,23.85,23.7151,19.2234,24.5564,24.8768,25.2336,24.2885,26.9174,26.1128,25.2781,24.7154
FAY,Jan,14.7969,16.2661,10.4704,11.997,13.4271,8.75497,9.28175,12.503,15.4717,13.5081,11.7044,10.4556,9.9676,9.2433,14.7568,13.855,10.3626,11.4202,9.99626,14.4705,10.6801
FAY,Feb,15.9215,16.4726,16.0085,15.3518,15.3309,12.0249,11.6406,13.2571,13.0697,11.592,16.63,14.3334,9.7444,16.5635,15.2133,12.5904,13.1044,8.85395,12.7326,20.0784,19.2302
FAY,Mar,18.5387,17.2549,20.1941,16.3522,20.0532,18.5659,18.7233,16.3068,17.7821,21.0442,19.4759,16.9321,18.3591,18.1838,22.8804,14.9537,15.2137,18.315,21.7483,18.4542,15.6577
FAY,Apr,23.4038,23.483,21.4753,23.7148,25.581,21.4536,23.423,22.0915,24.9755,22.9584,22.3502,23.585,25.5973,24.6401,22.8261,22.9377,23.8798,23.2287,22.6892,26.0028,22.3988
FAY,May,28.8056,26.3835,29.4538,27.5366,27.3979,25.3796,29.2923,25.0391,26.2236,27.039,26.5103,27.5581,28.7181,28.0656,28.3561,26.4239,28.5212,28.1529,26.2803,27.7707,29.4983
