pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,Jan,19.0009,18.5662,18.4884,18.4748,17.6223,16.4251,17.1833,17.4872,18.5622,18.4725,18.9987,17.2369,17.5947,15.7973,17.6771,17.5618,17.5939,17.2422,18.2505,19.0612,17.8669
OKI,Feb,19.1255,17.7705,17.0089,19.0363,17.5995,18.071,17.5068,18.1367,18.3213,18.909,16.627,19.7486,18.5007,18.0861,17.7132,18.6811,17.9996,16.9863,17.3945,17.8737,17.55
OKI,Mar,20.2325,20.7721,19.0286,18.5945,19.6554,18.4092,18.8619,17.6509,18.572,19.5902,19.128,19.6108,19.6467,17.2733,19.5348,20.1521,18.4602,18.7434,19.3085,18.7671,19.9228
OKI,Apr,23.6131,21.7081,21.0112,21.408,22.0673,21.7057,21.6611,21.5074,21.2185,20.4601,21.4252,20.5736,21.2248,20.134,21.6542,20.7838,20.7381,21.7071,22.3401,21.4188,21.4397
OKI,May,26.0189,23.5938,23.378,23.8244,24.6007,23.9016,24.6876,23.8328,24.4269,23.1972,23.7662,22.9623,22.8392,23.1876,23.883,23.3196,23.3547,24.0421,24.8713,23.7136,24.4819
OKI,Jun,27.3422,27.1288,26.8566,27.5288,26.4507,25.8705,26.0613,26.1696,26.2863,25.9985,26.7963,25.6731,24.2939,26.8519,26.2397,27.0078,26.3986,27.698,27.6577,26.0057,26.8504
OKI,Jul,28.8799,27.6782,27.67,29.0815,27.5177,28.6783,28.2048,28.3699,28.1555,28.8954,28.6867,28.3333,26.0639,27.7735,28.1118,28.4176,28.5101,28.1485,29.0738,29.0436,27.6532
OKI,Aug,29.1768,27.8742,27.4312,29.1233,27.9771,28.7806,28.426,28.3544,28.4547,28.3167,28.3072,28.8852,28.2306,27.6831,28.036,28.8567,28.3291,28.2476,29.3188,29.7337,28.181
OKI,Sep,28.0714,27.7669,26.6156,27.3687,27.0925,27.8787,26.9183,27.7892,27.5093,27.7347,27.68,28.0907,27.6198,27.1748,27.0183,27.9213,28.2665,27.2156,27.954,28.6436,28.1293
OKI,Oct,26.6406,26.2093,26.1499,25.6804,25.0486,24.8208,24.8498,26.0544,26.0185,26.3083,26.2123,25.3826,25.7029,25.4074,24.771,25.4873,25.2223,25.5228,27.2683,27.157,24.5589
