POP,MONTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,Jan,-0.504095,-4.08037,-5.76032,-5.51091,-1.9263,-6.88093,-8.0432,-5.02652,-1.31538,-1.76036,-3.64034,-6.52491,-4.90286,-7.31771,-2.4958,-3.48218,-9.001,-6.5583,-5.67459,-1.64973,-6.50907
BER,Feb,-0.547359,-3.29142,-3.14173,-3.29489,-3.09056,-6.52499,-4.84515,-3.94559,-4.30818,-6.91064,-3.30092,-3.73709,-4.57057,-3.98623,-1.80643,-3.79429,-6.10814,-10.6361,-2.94946,-0.433383,-0.740527
BER,Mar,1.37174,-0.753005,1.31225,-0.940405,0.737964,-0.268508,1.25919,-1.67269,-0.112675,-0.878248,0.464269,-0.370906,2.46244,0.214584,4.12938,-0.963377,-3.39931,-3.09816,2.39014,-0.709597,-1.18682
BER,Apr,5.19358,3.94218,4.55445,5.14764,6.29563,4.05587,5.37688,4.4716,5.24302,4.02732,5.93797,5.68939,6.28715,7.14968,4.80626,4.75266,3.61437,4.77234,3.46628,7.77138,2.70778
BER,May,11.5074,9.5685,10.7481,10.4785,9.2708,8.64107,13.5545,7.1499,9.82571,9.92682,8.57533,10.9261,11.8465,12.2987,13.1572,10.4601,10.8081,12.3496,10.39,10.3783,12.9926
BER,Jun,14.8353,14.9939,15.9859,17.0282,15.2805,14.8858,15.1687,16.7385,16.3562,15.7253,17.0365,15.1678,17.432,16.2366,14.834,16.197,15.3796,16.6346,15.0255,16.0058,16.3863
BER,Jul,17.7721,19.1781,16.742,16.018,18.4117,18.6914,18.232,19.39,19.8279,17.7727,18.9873,16.8508,19.9531,20.1701,19.821,20.7394,17.7906,18.9004,19.8056,19.0687,19.4837
BER,Aug,17.4182,17.4944,17.1082,19.2868,18.2276,18.8917,17.3591,19.3603,18.1169,17.8022,15.6281,19.082,18.1017,17.656,18.3782,16.6685,15.6041,16.977,19.2695,16.9281,20.6155
BER,Sep,14.009,14.5099,11.9965,11.86,13.4016,14.389,13.9608,14.136,12.7946,13.1994,14.1348,13.0235,14.3575,15.9085,13.4738,11.1121,13.6482,14.9008,14.8073,14.9234,17.81
BER,Oct,7.13324,5.33895,6.51035,6.52104,7.89085,5.59591,6.89079,8.96247,6.31333,10.9913,5.64421,6.93309,7.60879,7.57922,8.59763,8.17967,8.0884,6.17975,7.72441,10.432,9.05567
