pop,country,lat,Estimate,StdError,year
NA,JP,38.25,13.92,NA,1988
NA,JP,35.7,13.92,NA,1988
NA,JP,35.65,13.98,NA,1988
NA,JP,35.65,13.91,NA,1988
NA,JP,34.7,13.56,NA,1988
NA,JP,33.5,13.46,NA,1988
NA,JP,33.25,13.6,NA,1988
NA,JP,33.25,13.4,NA,1988
NA,JP,32.5,13.43,NA,1988
NA,JP,31.6,13.57,NA,1988
NA,JP,31.6,13.39,NA,1988
NA,JP,26.22,12.55,NA,1988
NA,US,26,13.4,NA,1988
NA,US,29.45,13.1,NA,1988
NA,US,30,13.5,NA,1988
NA,US,30.3,13.25,NA,1988
NA,US,32,13.37,NA,1988
NA,US,35,13.62,NA,1988
NA,US,36,14.1,NA,1988
NA,US,36,13.67,NA,1988
NA,US,38,13.5,NA,1988
NA,US,38,13.8,NA,1988
NA,US,38.3,13.6,NA,1988
NA,US,39,13.75,NA,1988
NA,US,39.15,13.7,NA,1988
NA,US,39.15,14.2,NA,1988
NA,US,39.45,13.8,NA,1988
NA,US,41,13.75,NA,1988
NA,US,42,13.45,NA,1988
