pop,country,lat,photoperiod,DI,year
BER,US,39.77,8,0.9757,2008
BER,US,39.77,12,0.926391382,2008
BER,US,39.77,12.5,0.919839679,2008
BER,US,39.77,12.75,0.931034483,2008
BER,US,39.77,13,0.609053498,2008
BER,US,39.77,13.25,0.476190476,2008
BER,US,39.77,13.5,0.510962822,2008
BER,US,39.77,13.75,0.351485149,2008
BER,US,39.77,14,0.10212766,2008
BER,US,39.77,14.25,0.132505176,2008
BER,US,39.77,14.5,0.017374517,2008
BER,US,39.77,16,0.018893387,2008
BRU,US,31.12,8,0.8151,2008
BRU,US,31.12,12,0.928571429,2008
BRU,US,31.12,12.5,0.942028986,2008
BRU,US,31.12,12.75,0.267206478,2008
BRU,US,31.12,13,0.250755287,2008
BRU,US,31.12,13.25,0.146167558,2008
BRU,US,31.12,13.5,0.058375635,2008
BRU,US,31.12,13.75,0.048951049,2008
BRU,US,31.12,14,0.003174603,2008
BRU,US,31.12,14.25,0.034364261,2008
BRU,US,31.12,14.5,0,2008
BRU,US,31.12,16,0.020979021,2008
NVA,US,36.35,8,0.9871,2008
NVA,US,36.35,12,0.959016393,2008
NVA,US,36.35,12.5,0.940766551,2008
NVA,US,36.35,12.75,0.782786885,2008
NVA,US,36.35,13,0.66951567,2008
NVA,US,36.35,13.25,0.37027027,2008
NVA,US,36.35,13.5,0.279255319,2008
NVA,US,36.35,13.75,0.186046512,2008
NVA,US,36.35,14,0.157608696,2008
NVA,US,36.35,14.25,0.030487805,2008
NVA,US,36.35,14.5,0.166666667,2008
NVA,US,36.35,16,0.090909091,2008
OAK,US,28.85,8,0.5286,2008
OAK,US,28.85,12,0.506596306,2008
OAK,US,28.85,12.5,0.186363636,2008
OAK,US,28.85,12.75,0.046130952,2008
OAK,US,28.85,13,0.12406015,2008
OAK,US,28.85,13.25,0.041411043,2008
OAK,US,28.85,13.5,0.046357616,2008
OAK,US,28.85,13.75,0.044067797,2008
OAK,US,28.85,14,0.019667171,2008
OAK,US,28.85,14.25,0.039808917,2008
OAK,US,28.85,14.5,0.014056225,2008
OAK,US,28.85,16,0.006912442,2008
WAV,US,37.03,8,0.9681,2008
WAV,US,37.03,12,0.849557522,2008
WAV,US,37.03,12.5,0.860465116,2008
WAV,US,37.03,12.75,0.901754386,2008
WAV,US,37.03,13,0.655826558,2008
WAV,US,37.03,13.25,0.640316206,2008
WAV,US,37.03,13.5,0.467741935,2008
WAV,US,37.03,13.75,0.235294118,2008
WAV,US,37.03,14,0.133757962,2008
WAV,US,37.03,14.25,0.063926941,2008
WAV,US,37.03,14.5,0.129770992,2008
WAV,US,37.03,16,0.007042254,2008
FAY,US,35.02,8,0.9489,2008
FAY,US,35.02,12,0.84,2008
FAY,US,35.02,12.5,0.801007557,2008
FAY,US,35.02,12.75,0.893129771,2008
FAY,US,35.02,13,0.565022422,2008
FAY,US,35.02,13.25,0.289473684,2008
FAY,US,35.02,13.5,0.100840336,2008
FAY,US,35.02,13.75,0.125858124,2008
FAY,US,35.02,14,0.025862069,2008
