PaperID,CageID,Cabinet,Block,Population,Country,Lat,Long,Photoperiod,Generation,NumPupae,BFDate,OvipositionDate,InitialEggs,Subsampled,H1IndDate,H1CtDate,H1Count,H2IndDate,H2CtDate,H2Count,EmbryoCtDate,EmbryoCount,TotalHatch,TotalLarvaeEmbryos,Notes1,Notes2,,,,,,,,,,,,,,,,
100-1,100,1,A,BER,US,39.77,-74.9,16,F3,64,5/7/19,5/13/19,557,NA,5/28/19,5/30/19,452,6/8/19,6/9/19,2,6/10/19,3,454,457,NA,NA,,,,,,,,,,,,,,,,
101-1,101,1,A,BRU,US,31.13,-81.5,16,F3,63,5/7/19,5/13/19,269,NA,5/28/19,5/30/19,156,6/8/19,6/9/19,2,6/10/19,1,158,159,NA,NA,,,,,,,,,,,,,,,,
102-1,102,1,A,KAG,JP,31.6,130.6,16,F4,74,5/7/19,5/13/19,361,NA,5/28/19,5/30/19,190,6/8/19,6/9/19,1,6/10/19,4,191,195,NA,NA,,,,,,,,,,,,,,,,
103-1,103,1,A,KAN,JP,36.56,136.7,16,F3,58,5/7/19,5/13/19,236,NA,5/28/19,5/30/19,147,6/8/19,6/9/19,0,6/10/19,1,147,148,NA,NA,,,,,,,,,,,,,,,,
104-1,104,1,A,KYO,JP,35,135.8,16,F4,67,5/7/19,5/13/19,432,NA,5/28/19,5/30/19,262,6/8/19,6/9/19,0,6/10/19,15,262,277,NA,NA,,,,,,,,,,,,,,,,
105-1,105,1,A,NVA,US,36.35,-78.4,16,F3,56,5/7/19,5/13/19,330,NA,5/28/19,5/30/19,231,6/8/19,6/9/19,0,6/10/19,0,231,231,NA,NA,,,,,,,,,,,,,,,,
106-1,106,1,A,OAK,US,28.85,-80.9,16,F3,71,5/7/19,5/13/19,429,NA,5/28/19,5/30/19,271,6/8/19,6/9/19,0,6/10/19,2,271,273,NA,NA,,,,,,,,,,,,,,,,
107-1,107,1,A,PBS,US,26.67,-80.2,16,F3,56,5/7/19,5/13/19,139,NA,5/28/19,5/30/19,70,6/8/19,6/9/19,0,6/10/19,11,70,81,NA,NA,,,,,,,,,,,,,,,,
108-1,108,1,A,SAG,JP,33.25,130.3,16,F4,78,5/7/19,5/13/19,658,NA,5/28/19,5/30/19,469,6/8/19,6/9/19,0,6/10/19,3,469,472,NA,NA,,,,,,,,,,,,,,,,
109-1,109,1,A,SEN,JP,38.29,140.9,16,F3,60,5/7/19,5/13/19,128,NA,5/28/19,5/30/19,52,6/8/19,6/9/19,1,6/10/19,0,53,53,NA,NA,,,,,,,,,,,,,,,,
110-1,110,1,A,WAV,US,37.05,-77.1,16,F3,66,5/7/19,5/13/19,566,NA,5/28/19,5/30/19,314,6/8/19,6/9/19,3,6/10/19,7,317,324,NA,NA,,,,,,,,,,,,,,,,
111-1,111,2,A,BER,US,39.77,-74.9,13,F3,64,5/8/19,5/13/19,104,NA,5/27/19,5/29/19,10,6/8/19,6/9/19,0,6/10/19,50,10,60,NA,NA,,,,,,,,,,,,,,,,
112-1,112,2,A,BRU,US,31.13,-81.5,13,F3,63,5/8/19,5/13/19,52,NA,5/27/19,5/29/19,18,6/8/19,6/9/19,0,6/10/19,2,18,20,NA,NA,,,,,,,,,,,,,,,,
113-1,113,2,A,KAG,JP,31.6,130.6,13,F4,74,5/8/19,5/13/19,41,NA,5/27/19,5/29/19,1,6/8/19,6/9/19,6,6/10/19,29,7,36,NA,NA,,,,,,,,,,,,,,,,
114-1,114,2,A,KAN,JP,36.56,136.7,13,F3,58,5/8/19,5/13/19,262,NA,5/27/19,5/29/19,35,6/8/19,6/9/19,1,6/10/19,173,36,209,NA,NA,,,,,,,,,,,,,,,,
115-1,115,2,A,KYO,JP,35,135.8,13,F4,67,5/8/19,5/13/19,147,NA,5/27/19,5/29/19,10,6/8/19,6/9/19,2,6/10/19,114,12,126,NA,NA,,,,,,,,,,,,,,,,
116-1,116,2,A,NVA,US,36.35,-78.4,13,F3,57,5/8/19,5/13/19,121,NA,5/27/19,5/29/19,1,6/8/19,6/9/19,0,6/10/19,81,1,82,NA,NA,,,,,,,,,,,,,,,,
117-1,117,2,A,OAK,US,28.85,-80.9,13,F3,70,5/8/19,5/13/19,227,NA,5/27/19,5/29/19,128,6/8/19,6/9/19,1,6/10/19,0,129,129,NA,NA,,,,,,,,,,,,,,,,
