WeekDate,Week,Eggs,DI
7/6/15,1,Lab,0.023
7/13/15,2,Lab,0.027
7/20/15,3,Lab,0.052
7/27/15,4,Lab,0.085
8/3/15,5,Lab,0
8/10/15,6,Lab,0.13
8/17/15,7,Lab,0.007
8/24/15,8,Lab,0.168
8/31/15,9,Lab,0.073
9/7/15,10,Lab,0.465
9/14/15,11,Lab,0.915
9/21/15,12,Lab,0.956
9/28/15,13,Lab,0.565
10/5/15,14,Lab,0.902
10/12/15,15,Lab,0.867
10/26/15,16,Lab,NA
11/2/15,17,Lab,0.863
7/6/15,1,Field,NA
7/13/15,2,Field,0.08
7/20/15,3,Field,0.037
7/27/15,4,Field,0
8/3/15,5,Field,0
8/10/15,6,Field,0.033
8/17/15,7,Field,0
8/24/15,8,Field,0.027
8/31/15,9,Field,0.121
9/7/15,10,Field,0.3
9/14/15,11,Field,0.697
9/21/15,12,Field,0.721
9/28/15,13,Field,0.75
10/5/15,14,Field,0.612
10/12/15,15,Field,0.939
10/26/15,16,Field,0.831
11/2/15,17,Field,1
