pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,356,355,362,363,362,355,365,352,364,340,342,356,359,365,360,363,351,362,365,352,364
KAG,356,355,362,350,348,355,365,352,364,340,342,356,344,352,345,356,341,352,352,347,363
YAT,344,342,347,350,323,327,363,339,339,323,325,341,331,351,333,342,340,352,352,325,328
SAG,346,355,362,350,348,355,365,349,363,340,342,353,344,354,342,357,349,352,365,347,363
YAM,356,342,348,346,332,354,365,339,339,340,341,341,346,352,333,349,340,354,351,346,328
KYO,356,354,348,351,345,354,365,347,363,340,342,352,351,344,342,348,340,354,365,340,350
TAK,356,354,340,351,345,354,365,339,363,340,342,352,359,344,338,362,340,354,347,343,345
KAN,356,355,342,363,345,354,365,347,359,340,342,353,353,358,338,362,344,362,347,343,350
NIG,324,347,328,345,321,354,338,342,338,324,342,350,343,344,337,333,340,362,323,326,345
SEN,323,334,328,337,311,328,335,336,329,323,325,326,343,336,336,317,324,336,330,324,343
TAN,356,355,362,363,362,355,365,352,364,340,342,356,359,365,360,363,351,362,365,352,364
SHI,356,355,362,363,362,355,365,351,364,340,342,356,359,365,360,363,351,362,365,352,364
HIR,356,355,362,350,362,355,365,347,363,340,342,356,359,365,342,363,351,362,365,347,364
TOK,356,355,362,363,361,355,365,348,364,340,342,356,359,365,360,363,349,362,352,352,350
UTS,317,321,324,319,309,322,336,321,317,321,325,308,320,326,324,316,320,341,315,321,325
KHO,317,315,328,309,308,322,335,322,323,321,325,308,323,322,324,318,321,342,322,317,329
AIZ,317,315,315,309,308,318,302,321,323,321,317,307,301,322,322,316,309,330,312,310,320
SAK,323,349,328,337,321,328,357,342,346,323,325,344,343,348,335,348,340,343,330,326,343
