pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,308,288,303,281,305,296,313,315,299,311,294,310,305,303,287,299,293,291,299,314,295
BRU,352,335,327,355,333,333,350,356,339,321,323,355,336,316,358,332,322,327,326,344,333
NVA,311,298,304,282,322,297,314,303,299,311,303,311,311,302,307,298,307,291,313,314,295
NEW,309,316,324,316,305,312,314,316,300,312,298,310,306,303,287,299,318,291,318,314,314
MAN,309,308,311,282,305,297,314,316,307,312,304,311,316,304,311,298,312,292,317,314,314
JAC,352,360,327,361,333,355,350,356,339,351,323,355,340,316,358,332,324,327,326,344,333
FEM,352,360,355,361,333,355,350,356,339,351,323,355,341,316,358,332,324,327,326,344,333
FAY,312,308,321,302,323,336,311,315,307,312,304,311,318,303,313,299,307,327,318,315,315
OAK,352,360,355,361,333,355,350,356,339,351,323,355,348,316,358,332,324,327,326,344,333
PBS,352,360,355,361,333,355,350,356,339,351,323,355,348,316,358,332,324,327,326,344,333
WAV,311,308,320,282,306,314,314,303,308,311,304,252,312,304,308,299,306,319,317,315,315
ZIO,312,308,326,301,323,318,320,322,308,312,303,332,312,303,328,299,307,327,326,324,332
