pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,321,316,321,315,315,317,320,312,319,317,315,314,314,317,314,310,313,320,322,315,322
KAG,277,272,279,271,264,275,276,272,277,276,273,270,271,276,266,271,272,276,280,269,270
YAT,266,263,265,261,254,263,266,264,265,267,263,261,261,263,254,262,260,267,273,259,263
SAG,269,265,267,263,257,266,269,266,269,269,266,264,263,268,258,265,265,268,273,263,264
YAM,263,260,258,254,251,257,261,259,258,262,259,257,257,259,253,258,256,257,264,253,257
KYO,263,262,260,255,253,257,264,260,261,262,259,259,261,260,258,263,260,261,264,255,261
TAK,261,261,258,254,251,255,263,259,259,259,256,255,258,259,257,260,257,258,261,252,259
KAN,251,251,248,241,243,246,252,250,247,250,246,245,248,249,249,251,245,244,251,242,247
NIG,255,252,250,249,244,248,255,251,249,252,250,247,251,251,253,252,245,245,250,245,250
SEN,249,247,245,238,240,240,246,245,241,248,245,240,246,246,251,246,240,243,247,240,246
TAN,301,295,303,294,288,300,303,289,301,297,296,294,293,297,289,289,292,303,303,291,300
SHI,264,261,259,256,251,259,262,262,262,263,260,259,259,264,256,261,258,260,266,257,259
HIR,271,268,268,262,259,265,269,265,269,269,266,266,266,268,262,267,265,267,271,260,265
TOK,267,267,264,260,258,261,266,262,267,264,266,264,264,266,264,266,265,266,267,258,267
UTS,242,243,240,238,234,237,241,239,237,240,240,233,241,242,244,241,233,234,243,235,242
KHO,247,247,244,240,239,241,245,244,241,247,244,239,245,246,249,246,239,241,247,238,246
AIZ,236,238,236,232,229,232,234,234,232,237,232,228,237,236,242,237,229,228,238,229,236
SAK,251,248,246,243,242,243,251,247,243,249,247,242,247,247,252,249,241,242,247,241,246
