pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,246,243,240,250,239,241,241,250,241,251,244,238,244,250,242,242,243,251,249,256,248
BRU,295,286,278,294,284,289,293,282,289,291,285,287,283,288,289,288,284,304,296,285,287
NVA,265,258,254,264,258,261,260,263,261,270,258,255,260,262,252,256,255,266,263,263,259
NEW,243,242,239,246,238,240,242,248,239,248,241,235,241,246,240,241,242,251,248,254,244
MAN,258,249,244,253,246,248,246,255,245,255,247,245,250,251,247,248,247,256,257,259,253
JAC,305,287,285,303,289,296,297,291,294,293,290,296,289,297,291,301,293,315,303,295,297
FEM,318,309,305,315,303,308,308,308,315,316,306,311,300,318,308,318,309,325,317,315,314
FAY,273,269,260,275,265,267,266,267,265,275,263,262,264,270,262,264,262,280,271,270,269
OAK,317,303,299,317,299,305,305,302,307,310,303,309,296,313,301,314,303,322,313,310,309
PBS,322,316,314,321,312,313,314,314,320,323,313,319,306,322,318,324,318,329,326,319,317
WAV,264,260,254,269,258,261,258,264,260,267,258,256,260,265,257,262,255,270,265,266,264
ZIO,279,271,265,283,269,272,275,273,271,280,270,266,268,276,272,274,272,289,278,278,276
