pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,Jan,19.20715,18.72035,18.63735,18.64175,17.7598,16.58365,17.34025,17.6524,18.70095,18.6209,19.1267,17.37245,17.76165,15.94625,17.82375,17.7329,17.74645,17.3786,18.4429,19.2214,18.0403
OKI,Feb,19.28185,17.9262,17.16055,19.19595,17.71615,18.2109,17.6283,18.29815,18.4722,19.04455,16.79335,19.87445,18.64225,18.23455,17.87135,18.83475,18.1512,17.1318,17.55275,18.02905,17.7078
OKI,Mar,20.3705,20.90705,19.1874,18.7706,19.7754,18.5671,18.99005,17.83095,18.74425,19.73045,19.25945,19.76385,19.8067,17.40715,19.66725,20.2887,18.5962,18.88875,19.45825,18.92095,20.04515
OKI,Apr,23.73485,21.83625,21.16585,21.54385,22.1708,21.7927,21.7944,21.62295,21.35175,20.5996,21.55295,20.70105,21.38365,20.2431,21.77505,20.9335,20.85565,21.81375,22.45495,21.52375,21.5414
OKI,May,26.16255,23.70675,23.47825,23.94495,24.70415,24.0026,24.7961,23.94025,24.5459,23.3042,23.8713,23.0692,22.9553,23.3106,23.99555,23.4086,23.48095,24.1428,24.9743,23.82275,24.55865
OKI,Jun,27.46205,27.2431,26.96065,27.6493,26.546,25.9561,26.1716,26.2907,26.416,26.0855,26.89615,25.78905,24.4218,26.9576,26.3258,27.114,26.517,27.79435,27.78145,26.1155,26.95775
OKI,Jul,28.9984,27.8253,27.81545,29.24555,27.6174,28.7704,28.31565,28.4577,28.2502,28.98465,28.7867,28.4266,26.16,27.8989,28.23455,28.5163,28.6313,28.275,29.209,29.1247,27.7457
OKI,Aug,29.3123,28.0159,27.5619,29.2529,28.08515,28.91315,28.54925,28.4792,28.5886,28.45365,28.4326,29.0129,28.4157,27.7958,28.20825,29.0053,28.46455,28.3804,29.4533,29.8548,28.30955
OKI,Sep,28.2348,27.9067,26.71305,27.5348,27.20735,28.01175,27.0508,27.893,27.66455,27.85895,27.83085,28.2145,27.76615,27.2817,27.14285,28.05725,28.41925,27.34065,28.12995,28.78035,28.27185
OKI,Oct,26.7994,26.32375,26.2729,25.7854,25.16965,24.9466,24.9906,26.18525,26.12215,26.4179,26.32685,25.51245,25.8456,25.5386,24.88365,25.6183,25.34485,25.6356,27.40675,27.2871,24.67565
OKI,Nov,23.69995,23.0671,24.09195,22.251,21.65155,24.09735,23.21495,23.28955,23.45995,22.92215,23.01155,22.9566,22.22745,24.1172,21.89535,21.8894,22.8855,24.04155,24.0406,23.48535,23.82555
OKI,Dec,21.22135,19.4433,21.0198,19.90695,19.86135,19.31725,21.0936,17.98485,20.30215,20.4763,19.66845,19.0988,19.17175,19.3499,19.3478,18.5762,18.32575,20.7715,21.5148,19.1592,21.49805
KAG,Jan,7.255065,6.923935,7.95036,6.764425,8.06539,5.727,6.10224,6.222825,7.188675,7.79383,8.051175,7.04083,6.90532,3.863765,6.40532,6.16288,7.39075,7.481395,7.319415,7.46062,6.1343
KAG,Feb,10.57151,7.23614,6.15341,9.233615,8.553295,8.883065,8.486275,7.59428,9.594535,9.998075,6.12659,10.886635,10.659945,9.19576,7.38393,8.662245,8.598435,7.52837,8.176055,7.783695,6.59793
KAG,Mar,11.01146,12.8713,10.91579,11.17492,12.82916,10.72677,11.722215,9.849795,10.641085,11.808025,11.878605,11.91776,12.03126,9.35332,11.48739,13.225495,11.93874,11.749525,11.979405,10.204915,13.250855
KAG,Apr,18.86105,15.85055,15.06605,15.5385,16.7929,17.22255,16.60035,16.51645,15.4129,15.1772,15.6928,15.7896,15.0341,14.941785,16.0308,15.174155,15.67345,17.8584,17.19355,16.52025,17.40845
KAG,May,21.65875,19.19005,19.8422,20.13515,20.46515,20.52345,20.3948,19.93915,20.3944,19.82915,20.06955,20.13265,19.78825,19.9974,20.20155,20.32605,19.48025,20.2676,20.97945,20.1446,20.5398
KAG,Jun,23.2608,23.25425,23.03255,23.88935,23.26355,22.52415,24.06755,23.8777,23.3348,23.54805,22.69555,23.3656,22.796,23.34145,22.7062,23.5454,22.30815,21.7748,23.5274,22.54945,23.711
KAG,Jul,27.4491,25.75705,27.3034,27.7716,27.2145,26.91355,27.9942,27.21345,27.791,26.94625,28.102,26.8876,26.7893,27.08445,27.0359,28.44635,26.72575,25.7271,27.50675,28.3396,27.7239
KAG,Aug,28.3934,26.70505,27.236,27.77735,27.38155,27.39135,27.99795,27.7093,28.30085,28.0674,27.56755,27.86285,28.47655,27.58375,27.73755,28.96435,26.99195,26.98135,28.7819,28.5926,28.42315
KAG,Sep,25.58425,26.04655,24.63115,24.3088,24.86515,25.57225,25.41495,25.9865,24.7421,26.81975,25.1093,25.436,26.01435,24.84325,24.28735,25.31155,23.969,23.983,26.2456,24.302,25.27265
KAG,Oct,21.2874,20.51735,21.0734,20.5613,18.5743,18.4781,19.47465,20.72125,21.3435,21.45505,20.48115,19.12195,20.21425,19.852,19.3633,20.9413,20.3743,19.11395,22.26115,20.6464,18.83935
KAG,Nov,14.503975,13.950745,15.9701,12.85614,11.52235,17.234,14.97125,14.107635,15.25405,14.107985,13.5888,14.3481,13.483025,16.30395,12.60624,13.04791,14.9142,16.74925,15.16,13.53368,14.302215
KAG,Dec,10.16204,8.001725,9.76498,8.85511,9.78876,8.767435,10.960995,6.12128,9.850215,10.143825,8.54257,9.06297,9.04877,8.41811,7.868075,7.545385,7.60189,10.916635,10.86771,6.941775,10.33284
YAT,Jan,4.334745,4.57393,5.55303,3.87338606,5.652425,3.2028115,3.380537,3.5959084,4.8953255,5.410565,5.492745,4.3479935,4.2741895,0.98211,3.763538,3.3905855,4.874984,4.993705,4.584855,5.208482,3.743931
YAT,Feb,8.058305,4.7191585,3.538768,6.40948,6.286185,6.611455,6.52457,4.6131655,6.856105,8.171155,3.539327,8.54277,8.10766,6.98538,4.207627,5.896855,5.76584,5.172445,5.66258,5.321032,4.451164197
YAT,Mar,9.194735,10.317765,8.520015,9.06589,10.82268,8.70094,9.32331,7.60527,8.51287,9.83011,9.667765,9.900005,9.770275,6.760785,8.96891,10.848865,9.69024,9.51875,9.86941,8.05351,11.482035
YAT,Apr,17.54305,13.990795,13.34643,14.20934,15.4079,15.68615,15.30663,15.098925,13.480635,13.40764,14.006085,14.347205,13.109565,13.166665,14.692375,12.73768,13.9708,15.80645,15.88645,14.90685,16.2789
YAT,May,20.55305,18.41845,18.65505,19.2889,19.3475,19.77775,19.4588,19.22065,19.30975,18.8297,19.04235,19.03355,18.2543,18.93425,19.16945,19.31355,18.7447,19.5618,20.0017,19.14755,20.0903
YAT,Jun,22.14185,22.16325,22.09495,22.8096,22.64495,21.82945,23.6607,23.7985,22.89565,22.63695,21.6626,22.4014,22.3549,22.62085,21.88225,22.88405,21.4278,21.1512,22.30425,21.82915,23.246
YAT,Jul,26.029,24.62615,26.5004,26.6692,26.6937,24.9075,27.1715,26.1612,26.407,25.4546,27.48095,25.3311,25.88015,26.1746,26.04155,26.837,25.41365,24.97895,26.7323,27.1362,28.15015
YAT,Aug,27.10675,26.07885,26.65115,27.5465,26.4483,26.60575,27.4513,26.7797,27.80685,27.75665,26.65615,27.03885,28.01585,26.53295,27.26675,27.63,25.57065,26.00365,28.08325,27.4294,29.10155
YAT,Sep,24.39805,24.764,23.04855,24.00075,23.6601,24.6167,24.1311,25.00135,23.19035,25.9615,24.2127,24.0822,24.5426,23.70415,23.0987,23.81365,22.76445,22.759,24.55635,22.5607,24.02845
YAT,Oct,19.35555,18.69345,18.91015,18.53675,16.7232,16.80675,17.7256,19.24395,19.6856,19.61665,18.74515,17.5801,18.33635,18.06065,17.2594,19.2259,18.36545,17.80675,21.04645,18.6406,17.66255
YAT,Nov,12.233575,11.68332,13.19914,10.828085,9.120195,14.98185,13.111905,12.27361,13.251975,12.037625,11.47362,12.186755,11.070715,14.24975,10.2322,10.80839,12.60346,15.2376,13.14155,11.21446,12.68921
YAT,Dec,7.864735,5.66245,7.551855,6.116355,7.142385,6.306745,8.694065,3.0733235,7.40052,7.63949,6.454915,6.42744,6.574205,5.7133,4.73917,4.923485,4.614655,8.28295,8.545465,4.8668505,8.259885
SAG,Jan,5.459905,5.68057,6.455,5.145655,6.73154,4.475205,4.4405355,4.78882,5.779955,6.32846,6.43595,5.03705,5.2384,2.419939,5.008475,4.80751,6.12874,6.40438,5.79682,6.21886,4.35705
SAG,Feb,8.58909,5.86093,4.6796235,6.873525,7.11764,7.473325,7.50178,5.012225,6.84011,8.81266,4.91499,8.86939,8.407695,7.516515,4.87673,6.72046,6.792265,6.343075,6.739125,6.82734,4.999575
SAG,Mar,9.748105,10.599195,9.246545,10.106845,11.451665,9.09599,9.96782,8.49938,9.0807,10.28411,10.004445,10.565335,10.01653,7.798195,9.699205,11.534755,10.72318,10.30873,10.76521,9.389055,11.48109
SAG,Apr,17.51855,14.3941,14.09259,14.65788,15.97775,15.7614,15.4583,15.74945,13.692155,14.09408,14.475405,14.954865,13.53914,13.73432,15.42845,13.642625,14.8394,16.1187,16.5593,15.94345,16.5973
SAG,May,20.9516,18.9535,18.8494,19.7166,19.45655,19.9825,19.5553,19.24865,19.02005,19.49265,19.28815,19.3007,18.64555,19.29135,19.88835,19.8534,19.6816,20.1998,20.47585,20.30025,20.2414
SAG,Jun,22.6983,22.72775,22.619,23.4472,23.33115,22.52825,23.98755,24.55725,23.34805,23.50265,22.00295,23.02535,23.27485,23.1979,22.7981,23.6363,22.45685,22.1229,23.24675,22.83275,23.3764
