pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,Jan,4.3046525,1.28576,-0.7323,-0.6123,3.228395,-2.679945,-3.899678,-0.215385,4.199695,3.138985,1.63783,-2.11918,-0.19367,-2.55575,2.95169,1.350705,-2.912955,-1.704685,-0.01433,2.810635,-0.68817
BER,Feb,4.4380755,2.234975,2.337715,2.296455,3.59427,-1.865135,0.598265,1.40343,1.211265,-2.386085,2.676365,2.29925,-0.62222,2.24202,3.86489,0.891225,-0.84735,-4.776455,2.342115,5.7778585,5.1253365
BER,Mar,6.51012,4.9004475,7.873025,4.0199675,6.768532,5.956246,6.279295,3.438425,5.9040125,5.769226,6.4658345,5.376347,8.25862,5.645092,10.24089,3.9884015,2.61691,2.79787,8.72832,5.0297515,3.824485
BER,Apr,11.39824,10.28724,10.166675,11.63652,12.780665,9.819085,11.37729,11.32395,12.16561,9.77781,12.128285,11.898845,13.367225,13.00134,11.62443,11.18033,10.247985,11.39152,10.27129,13.95419,9.34489
BER,May,17.3191,16.0436,16.877,16.94055,15.92515,13.811835,19.48525,13.6727,16.589905,17.33446,15.167115,16.78085,18.05835,18.25205,18.60685,16.6176,16.87935,19.29495,15.76515,15.9611,19.13645
BER,Jun,20.29225,21.22825,21.73275,22.8292,21.4346,20.14685,20.9408,22.3139,21.579,21.72095,23.4937,20.11365,23.8839,22.6673,21.1812,22.14915,21.6376,21.9131,21.5741,22.17635,22.085
BER,Jul,23.70705,25.7953,22.06515,22.2735,24.6904,24.07725,23.4807,24.7038,25.41165,23.88265,25.19345,22.74035,26.2047,26.4165,25.7887,25.7616,23.705,24.30275,25.5042,24.6122,24.993
BER,Aug,23.5939,23.28065,22.02005,25.08875,24.44155,24.15275,22.52155,24.9301,24.09125,23.71785,22.32625,24.2266,24.2801,23.27175,23.99145,22.03,21.6074,23.64795,25.10635,22.56455,25.70045
BER,Sep,20.49865,19.59185,17.97575,18.57475,19.9039,19.38015,19.6762,21.22635,18.2253,20.26575,19.9444,18.3282,20.97415,20.7937,19.39965,17.9586,19.54685,21.37545,20.91805,20.5956,22.14765
BER,Oct,12.90127,11.841525,13.112025,13.71027,12.803675,11.744755,12.251945,13.850435,12.367415,17.0374,12.228605,12.367245,13.577145,13.34876,13.846315,14.101435,13.7427,12.466675,13.788805,16.47095,14.409485
