pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAG,0,5,1,1,2,3,0,6,1,1,2,2,2,5,5,2,5,1,2,9,2
YAT,4,10,6,7,12,10,2,22,5,4,11,10,9,12,14,9,13,6,3,16,6
SAG,1,3,1,3,3,2,1,8,3,1,2,4,2,4,7,2,4,2,1,3,2
YAM,0,7,6,9,3,1,1,15,3,2,5,7,6,8,15,4,10,2,3,9,6
KYO,0,6,3,6,3,3,0,14,1,0,2,4,5,7,11,3,6,1,0,4,2
TAK,2,7,5,5,6,3,0,18,1,0,4,5,4,8,11,3,8,2,2,7,6
KAN,1,1,5,1,5,2,0,15,2,0,4,1,5,7,9,2,4,0,2,6,5
NIG,6,12,13,12,17,4,6,22,3,6,6,8,9,16,15,10,18,2,8,18,7
SEN,16,19,22,21,26,9,14,29,15,20,16,11,13,22,21,14,23,10,15,25,15
TAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HIR,0,2,0,3,1,0,0,9,1,0,1,1,0,1,4,2,2,0,0,3,1
TOK,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,2,5,0,1,2,3
UTS,29,28,32,29,35,26,16,37,21,22,21,23,19,25,26,32,29,14,23,34,21
KHO,19,24,22,28,29,15,16,32,18,21,20,21,17,23,26,21,28,12,19,35,15
AIZ,30,30,35,40,44,24,23,38,25,29,33,27,29,27,36,36,36,20,27,39,26
SAK,11,9,16,17,21,5,7,22,2,9,8,11,13,15,16,6,17,5,8,18,10
