"","pop","Estimate","StdError","country","lat","year"
"1","AIZ",13.8055534251455,0.093326677696757,"JP",37.47,"2008"
"2","BER",13.3815200381743,0.104691980729636,"US",39.77,"2008"
"3","BRU",12.6778971813431,0.0432476571267542,"US",31.12,"2008"
"4","FAY",13.0894469072591,0.0509127532834751,"US",35.02,"2008"
"5","FEM",12.5716906703355,0.793466776593556,"US",27.57,"2008"
"6","HIR",13.1088874236273,0.0946092049747003,"JP",34.38,"2008"
"7","JAC",12.675635765985,0.0819776248733296,"US",30.32,"2008"
"8","KAG",13.2917405264244,0.0691300219797529,"JP",31.55,"2008"
"9","KHO",13.3905340286713,0.0659384201360338,"JP",37.37,"2008"
"10","MAN",13.3862516577478,0.102767537101099,"US",38.62,"2008"
"11","NEW",13.803044771604,0.125894037269701,"US",40.72,"2008"
"12","NVA",13.0995914344232,0.071996058274791,"US",36.35,"2008"
"13","OAK",12.3128257953782,0.184102111013233,"US",28.85,"2008"
"14","OKI",12.9128269753514,0.181730350222485,"JP",26.22,"2008"
"15","SAK",13.6644933129919,0.0641511949357661,"JP",38.92,"2008"
"16","SHI",13.1224219644301,0.117793225207862,"JP",34.02,"2008"
"17","TAN",12.6477931369594,0.0929360490363081,"JP",30.72,"2008"
"18","TOK",13.2599462255156,0.0109584004266007,"JP",35.63,"2008"
"19","UTS",13.5887057611562,0.0429608151998674,"JP",36.53,"2008"
"20","WAV",13.4348804445957,0.0872185406835002,"US",37.03,"2008"
"21","ZIO",13.0484023264296,0.0762082043950839,"US",33.75,"2008"
"22","PBS",12.3377836963088,0.978212959970999,"US",26.67,"2018"
"23","FEM",12.5178987869314,0.204107157892461,"US",27.58,"2018"
"24","OAK",12.5141547681508,0.110016120317432,"US",28.85,"2018"
"25","JAC",12.8532440069939,0.0695429921300431,"US",30.33,"2018"
"26","BRU",12.9910864665452,0.0456151480520661,"US",31.13,"2018"
"27","ZIO",13.1679649131277,0.0343443974501271,"US",33.75,"2018"
"28","FAY",13.3626010009971,0.0495033759947701,"US",35.03,"2018"
"29","NVA",13.6026183014303,0.0434213281803579,"US",36.35,"2018"
"30","WAV",13.6820816512994,0.0245629209978862,"US",37.05,"2018"
"31","MAN",13.6273457473479,0.0404700644613331,"US",38.63,"2018"
"32","BER",13.6001540751313,0.0324263068349341,"US",39.77,"2018"
"33","NEW",13.8445565269216,0.0492296792364859,"US",40.73,"2018"
"34","OKI",12.7233688138933,0.0677294012582205,"JP",26.2,"2018"
"35","KAG",13.4588495901383,0.0329531657430974,"JP",31.6,"2018"
"36","YAT",13.2095678159864,0.0346210558835391,"JP",32.65,"2018"
"37","SAG",13.4328742434447,0.0375310328788057,"JP",33.25,"2018"
"38","YAM",13.5275398729425,0.0426645571146384,"JP",34.18,"2018"
"39","KYO",13.5135633344554,0.027389472379951,"JP",35,"2018"
"40","TAK",13.6623454360937,NA,"JP",35.35,"2018"
"41","KAN",13.7643173470151,0.0492950945767557,"JP",36.56,"2018"
"42","NIG",13.8496617799907,0.0490688696464146,"JP",37.91,"2018"
"43","SEN",14.0145864430433,0.0248957318172999,"JP",38.29,"2018"
