"","pop","year","gdd400","latitude","country","only_2008","interval","Estimate","CPP_YEAR"
"1","BER",1998,253,39.77,"US","n","y1998-2007",13.3815200381743,"2008"
"2","BER",1998,253,39.77,"US","n","y1998-2007",13.6001540751313,"2018"
"3","BRU",1998,303,31.13,"US","n","y1998-2007",12.6778971813431,"2008"
"4","BRU",1998,303,31.13,"US","n","y1998-2007",12.9910864665452,"2018"
"5","NVA",1998,271,36.35,"US","n","y1998-2007",13.0995914344232,"2008"
"6","NVA",1998,271,36.35,"US","n","y1998-2007",13.6026183014303,"2018"
"7","NEW",1998,249,40.73,"US","n","y1998-2007",13.803044771604,"2008"
"8","NEW",1998,249,40.73,"US","n","y1998-2007",13.8445565269216,"2018"
"9","MAN",1998,263,38.63,"US","n","y1998-2007",13.3862516577478,"2008"
"10","MAN",1998,263,38.63,"US","n","y1998-2007",13.6273457473479,"2018"
"11","JAC",1998,314,30.33,"US","n","y1998-2007",12.675635765985,"2008"
"12","JAC",1998,314,30.33,"US","n","y1998-2007",12.8532440069939,"2018"
"13","FEM",1998,323,27.58,"US","n","y1998-2007",12.5716906703355,"2008"
"14","FEM",1998,323,27.58,"US","n","y1998-2007",12.5178987869314,"2018"
"15","FAY",1998,280,35.03,"US","n","y1998-2007",13.0894469072591,"2008"
"16","FAY",1998,280,35.03,"US","n","y1998-2007",13.3626010009971,"2018"
"17","OAK",1998,322,28.85,"US","n","y1998-2007",12.3128257953782,"2008"
"18","OAK",1998,322,28.85,"US","n","y1998-2007",12.5141547681508,"2018"
"19","PBS",1998,327,26.67,"US","n","y1998-2007",12.3377836963088,"2018"
"20","WAV",1998,270,37.05,"US","n","y1998-2007",13.4348804445957,"2008"
"21","WAV",1998,270,37.05,"US","n","y1998-2007",13.6820816512994,"2018"
"22","ZIO",1998,287,33.75,"US","n","y1998-2007",13.0484023264296,"2008"
"23","ZIO",1998,287,33.75,"US","n","y1998-2007",13.1679649131277,"2018"
"24","BER",1999,249,39.77,"US","n","y1998-2007",13.3815200381743,"2008"
"25","BER",1999,249,39.77,"US","n","y1998-2007",13.6001540751313,"2018"
"26","BRU",1999,291,31.13,"US","n","y1998-2007",12.6778971813431,"2008"
"27","BRU",1999,291,31.13,"US","n","y1998-2007",12.9910864665452,"2018"
"28","NVA",1999,268,36.35,"US","n","y1998-2007",13.0995914344232,"2008"
"29","NVA",1999,268,36.35,"US","n","y1998-2007",13.6026183014303,"2018"
