"","pop","year","gdd400","latitude","country","only_2008","interval","Estimate","CPP_YEAR"
"1","BER",2007,264,39.77,"US","n","y1998-2007",13.3815200381743,"2008"
"2","BER",2007,264,39.77,"US","n","y1998-2007",13.6001540751313,"2018"
"3","BRU",2007,302,31.13,"US","n","y1998-2007",12.6778971813431,"2008"
"4","BRU",2007,302,31.13,"US","n","y1998-2007",12.9910864665452,"2018"
"5","NVA",2007,280,36.35,"US","n","y1998-2007",13.0995914344232,"2008"
"6","NVA",2007,280,36.35,"US","n","y1998-2007",13.6026183014303,"2018"
"7","NEW",2007,260,40.73,"US","n","y1998-2007",13.803044771604,"2008"
"8","NEW",2007,260,40.73,"US","n","y1998-2007",13.8445565269216,"2018"
"9","MAN",2007,268,38.63,"US","n","y1998-2007",13.3862516577478,"2008"
"10","MAN",2007,268,38.63,"US","n","y1998-2007",13.6273457473479,"2018"
"11","JAC",2007,304,30.33,"US","n","y1998-2007",12.675635765985,"2008"
"12","JAC",2007,304,30.33,"US","n","y1998-2007",12.8532440069939,"2018"
"13","FEM",2007,327,27.58,"US","n","y1998-2007",12.5716906703355,"2008"
"14","FEM",2007,327,27.58,"US","n","y1998-2007",12.5178987869314,"2018"
"15","FAY",2007,284,35.03,"US","n","y1998-2007",13.0894469072591,"2008"
"16","FAY",2007,284,35.03,"US","n","y1998-2007",13.3626010009971,"2018"
"17","OAK",2007,324,28.85,"US","n","y1998-2007",12.3128257953782,"2008"
"18","OAK",2007,324,28.85,"US","n","y1998-2007",12.5141547681508,"2018"
"19","PBS",2007,331,26.67,"US","n","y1998-2007",12.3377836963088,"2018"
"20","WAV",2007,277,37.05,"US","n","y1998-2007",13.4348804445957,"2008"
"21","WAV",2007,277,37.05,"US","n","y1998-2007",13.6820816512994,"2018"
"22","ZIO",2007,291,33.75,"US","n","y1998-2007",13.0484023264296,"2008"
"23","ZIO",2007,291,33.75,"US","n","y1998-2007",13.1679649131277,"2018"
"24","BER",2017,265,39.77,"US","n","y2008-2017",13.3815200381743,"2008"
"25","BER",2017,265,39.77,"US","n","y2008-2017",13.6001540751313,"2018"
"26","BRU",2017,295,31.13,"US","n","y2008-2017",12.6778971813431,"2008"
"27","BRU",2017,295,31.13,"US","n","y2008-2017",12.9910864665452,"2018"
