pop,City,latitude,longitude,country
PBS,"West Palm Beach, FL",26.67,-80.2,US
FEM,"Vero Beach, FL",27.58,-80.4,US
OAK,"Oak Hill, FL",28.85,-80.9,US
JAC,"Jacksonville, FL",30.33,-81.8,US
BRU,"Brunswick, GA",31.13,-81.5,US
ZIO,"New Zion, SC",33.75,-80,US
FAY,"Fayetteville, NC",35.03,-78.1,US
NVA,"Henderson, NC",36.35,-78.4,US
WAV,"Waverly, VA",37.05,-77.1,US
MAN,"Manassas, VA",38.63,-77.4,US
BER,"Sicklerville, NJ",39.77,-74.9,US
NEW,"Jersey City, NJ",40.73,-74.1,US
OKI,"Okinawa City, Okinawa",26.2,127.8,JP
KAG,"Kagoshima City, Kagoshima",31.6,130.6,JP
YAT,"Yatsushiro, Kumamoto",32.65,130.6,JP
SAG,Saga Prefecture,33.25,130.3,JP
YAM,Yamaguchi Prefecture,34.18,131.5,JP
KYO,Kyoto,35,135.8,JP
TAK,"Takashima, Shiga",35.35,136,JP
KAN,"Kanazawa, Ishikawa",36.56,136.7,JP
NIG,"Niigata City, Niigata",37.91,139,JP
SEN,"Sendai, Miyagi",38.29,140.9,JP
